"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US06037101110","Census Tract 1011.10; Los Angeles County; California","4926",
"1400000US06037101122","Census Tract 1011.22; Los Angeles County; California","3728",
"1400000US06037101220","Census Tract 1012.20; Los Angeles County; California","3344",
"1400000US06037101221","Census Tract 1012.21; Los Angeles County; California","3444",
"1400000US06037101222","Census Tract 1012.22; Los Angeles County; California","2808",
"1400000US06037101300","Census Tract 1013; Los Angeles County; California","4269",
"1400000US06037101400","Census Tract 1014; Los Angeles County; California","3898",
"1400000US06037102103","Census Tract 1021.03; Los Angeles County; California","2107",
"1400000US06037102104","Census Tract 1021.04; Los Angeles County; California","3906",
"1400000US06037102105","Census Tract 1021.05; Los Angeles County; California","1855",
"1400000US06037102107","Census Tract 1021.07; Los Angeles County; California","3984",
"1400000US06037103101","Census Tract 1031.01; Los Angeles County; California","2712",
"1400000US06037103102","Census Tract 1031.02; Los Angeles County; California","4752",
"1400000US06037103201","Census Tract 1032.01; Los Angeles County; California","4676",
"1400000US06037103202","Census Tract 1032.02; Los Angeles County; California","2026",
"1400000US06037103300","Census Tract 1033; Los Angeles County; California","3953",
"1400000US06037103401","Census Tract 1034.01; Los Angeles County; California","2516",
"1400000US06037103402","Census Tract 1034.02; Los Angeles County; California","4075",
"1400000US06037104103","Census Tract 1041.03; Los Angeles County; California","3811",
"1400000US06037104105","Census Tract 1041.05; Los Angeles County; California","5999",
"1400000US06037104108","Census Tract 1041.08; Los Angeles County; California","5829",
"1400000US06037104124","Census Tract 1041.24; Los Angeles County; California","4333",
"1400000US06037104201","Census Tract 1042.01; Los Angeles County; California","4377",
"1400000US06037104203","Census Tract 1042.03; Los Angeles County; California","4874",
"1400000US06037104204","Census Tract 1042.04; Los Angeles County; California","3304",
"1400000US06037104310","Census Tract 1043.10; Los Angeles County; California","4396",
"1400000US06037104321","Census Tract 1043.21; Los Angeles County; California","3009",
"1400000US06037104322","Census Tract 1043.22; Los Angeles County; California","2233",
"1400000US06037104401","Census Tract 1044.01; Los Angeles County; California","3022",
"1400000US06037104403","Census Tract 1044.03; Los Angeles County; California","2947",
"1400000US06037104404","Census Tract 1044.04; Los Angeles County; California","3082",
"1400000US06037104500","Census Tract 1045; Los Angeles County; California","3151",
"1400000US06037104610","Census Tract 1046.10; Los Angeles County; California","3645",
"1400000US06037104620","Census Tract 1046.20; Los Angeles County; California","3200",
"1400000US06037104701","Census Tract 1047.01; Los Angeles County; California","4601",
"1400000US06037104703","Census Tract 1047.03; Los Angeles County; California","2572",
"1400000US06037104704","Census Tract 1047.04; Los Angeles County; California","4760",
"1400000US06037104821","Census Tract 1048.21; Los Angeles County; California","3498",
"1400000US06037104822","Census Tract 1048.22; Los Angeles County; California","2345",
"1400000US06037104823","Census Tract 1048.23; Los Angeles County; California","3024",
"1400000US06037104824","Census Tract 1048.24; Los Angeles County; California","2207",
"1400000US06037106010","Census Tract 1060.10; Los Angeles County; California","3390",
"1400000US06037106020","Census Tract 1060.20; Los Angeles County; California","5557",
