GEO_ID,,S1101_C01_001E,S1101_C01_002E
GEO ID,FIPS,Total households,Average household size
1400000U,6037101110,1551,2.52
1400000U,6037101122,1383,3.01
1400000U,6037101220,1349,2.58
1400000U,6037101221,1424,2.58
1400000U,6037101222,928,3.03
1400000U,6037101300,1425,2.82
1400000U,6037101400,1287,2.69
1400000U,6037102103,671,2.73
1400000U,6037102104,1304,2.92
1400000U,6037102105,557,2.89
1400000U,6037102107,1202,2.74
1400000U,6037103101,967,2.8
1400000U,6037103102,1631,2.79
1400000U,6037103201,1577,2.54
1400000U,6037103202,635,3.15
1400000U,6037103300,1238,3.07
1400000U,6037103401,960,2.48
1400000U,6037103402,1343,2.8
1400000U,6037104103,865,4.79
1400000U,6037104105,1589,3.87
1400000U,6037104108,1269,3.91
1400000U,6037104124,1310,2.9
1400000U,6037104201,871,5.32
1400000U,6037104203,1124,4.61
1400000U,6037104204,715,4.49
1400000U,6037104310,927,4.74
1400000U,6037104321,820,3.51
1400000U,6037104322,445,3.96
1400000U,6037104401,607,4.9
1400000U,6037104403,537,4.38
1400000U,6037104404,756,4.4
1400000U,6037104500,626,5.25
1400000U,6037104610,640,4.84
1400000U,6037104620,722,4.86
1400000U,6037104701,909,4.27
1400000U,6037104703,593,3.87
1400000U,6037104704,1198,3.81
1400000U,6037104821,752,4.56
1400000U,6037104822,644,3.82
1400000U,6037104823,693,4.85
1400000U,6037104824,510,5.21
1400000U,6037106010,900,3.98
1400000U,6037106020,1283,3.55
1400000U,6037106111,1368,3.54
1400000U,6037106112,1394,3.57
1400000U,6037106113,1017,3.69
1400000U,6037106114,1705,3.99
1400000U,6037106403,870,4.23
1400000U,6037106405,1190,3.62
1400000U,6037106406,1845,3.52
1400000U,6037106407,812,2.69
1400000U,6037106408,1000,3.71
1400000U,6037106510,1630,3.38
1400000U,6037106520,1421,3.87
1400000U,6037106603,1185,2.96
1400000U,6037106604,1241,3.2
1400000U,6037106641,746,2.94
1400000U,6037106642,1147,2.92
1400000U,6037106643,1353,3.18
1400000U,6037106645,1246,3.01
1400000U,6037106646,963,2.95
1400000U,6037106648,1171,3.89
1400000U,6037106649,641,4.33
1400000U,6037107010,760,4.1
1400000U,6037107020,1151,4
1400000U,6037108101,762,2.97
1400000U,6037108102,1185,3.03
1400000U,6037108103,976,3.04
1400000U,6037108104,553,3.14
1400000U,6037108202,3254,2.86
1400000U,6037108203,1156,2.74
1400000U,6037108204,651,2.73
1400000U,6037109100,850,2.75
1400000U,6037109200,1023,3.07
1400000U,6037109300,904,3.12
1400000U,6037109400,1134,3.68
1400000U,6037109500,990,3.71
1400000U,6037109601,1310,3.68
1400000U,6037109603,1242,3.13
1400000U,6037109604,874,3.32
1400000U,6037109700,1392,3.06
1400000U,6037109800,1524,2.97
1400000U,6037111100,924,3.28
1400000U,6037111201,1042,3.12
1400000U,6037111202,1918,2.87
1400000U,6037111204,1811,3.08
1400000U,6037111205,1333,2.91
1400000U,6037111206,1419,3.02
1400000U,6037111302,1749,2.67
1400000U,6037111303,1436,3.2
1400000U,6037111304,1331,2.33
1400000U,6037111401,674,3.38
1400000U,6037111402,2175,2.74
1400000U,6037113101,1151,2.9
1400000U,6037113102,987,2.8
1400000U,6037113211,1599,2.63
1400000U,6037113212,970,2.85
1400000U,6037113213,1705,2.91
1400000U,6037113231,831,2.6
1400000U,6037113232,1499,2.9
1400000U,6037113234,1637,3.39
1400000U,6037113235,647,2.67
1400000U,6037113237,1560,3.03
1400000U,6037113238,1450,3.14
1400000U,6037113239,890,2.63
1400000U,6037113301,1638,2.91
1400000U,6037113303,1284,2.83
1400000U,6037113322,1512,2.88
1400000U,6037113323,1499,2.38
1400000U,6037113324,992,2.79
1400000U,6037113423,866,3.55
1400000U,6037113424,1073,3
1400000U,6037113425,1370,3.28
1400000U,6037113426,731,3.16
1400000U,6037113427,951,2.47
1400000U,6037113428,1087,3.84
1400000U,6037115101,1795,2.57
1400000U,6037115103,8,3.25
1400000U,6037115104,1976,2.16
1400000U,6037115202,2069,2.89
1400000U,6037115203,1036,2.16
1400000U,6037115204,1575,2.38
